(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;WordNumber;WordCoordinatesDWTK;Found in Word in Text;LetterPositionIndex In Word;WordNumberInVerse;Found In Verse
(9882, -35, 4);5;ה;12;(1, 1, 1, 12, 12);3;(1, 1, 1, 3, 3);אלהים;3;3;בראשית ברא אלהים את השמים ואת הארץ
(9882, -35, 4);300;ש;47;(1, 1, 2, 19, 47);12;(1, 1, 2, 5, 12);וחשך;3;5;והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
(9882, -35, 4);10;י;82;(1, 1, 3, 2, 82);22;(1, 1, 3, 1, 22);ויאמר;2;1;ויאמר אלהים יהי אור ויהי אור
(9882, -35, 4);6;ו;117;(1, 1, 4, 14, 117);31;(1, 1, 4, 4, 31);האור;3;4;וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
(9882, -35, 4);200;ר;152;(1, 1, 5, 4, 152);40;(1, 1, 5, 1, 40);ויקרא;4;1;ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
(9882, -35, 4);5;ה;187;(1, 1, 5, 39, 187);49;(1, 1, 5, 10, 49);ויהי;3;10;ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
(9882, -35, 4);40;ם;222;(1, 1, 6, 25, 222);58;(1, 1, 6, 6, 58);המים;4;6;ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
(9882, -35, 4);70;ע;257;(1, 1, 7, 16, 257);67;(1, 1, 7, 4, 67);הרקיע;5;4;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(9882, -35, 4);200;ר;292;(1, 1, 7, 51, 292);76;(1, 1, 7, 13, 76);אשר;3;13;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(9882, -35, 4);10;י;327;(1, 1, 8, 21, 327);85;(1, 1, 8, 5, 85);ויהי;2;5;ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
(9882, -35, 4);10;י;362;(1, 1, 9, 17, 362);94;(1, 1, 9, 4, 94);המים;3;4;ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
(9882, -35, 4);50;ן;397;(1, 1, 9, 52, 397);103;(1, 1, 9, 13, 103);כן;2;13;ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
(9882, -35, 4);40;ם;432;(1, 1, 10, 35, 432);111;(1, 1, 10, 8, 111);ימים;4;8;ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(9882, -35, 4);1;א;467;(1, 1, 11, 21, 467);120;(1, 1, 11, 5, 120);דשא;3;5;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
(9882, -35, 4);2;ב;502;(1, 1, 11, 56, 502);131;(1, 1, 11, 16, 131);בו;1;16;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
